word,meaning,source_sentence,target_sentence,input_text,target_text
Xiêm lo,Món canh chua bắp chuối,Nấu nồi canh xiêm lo ăn giải nhiệt.,Nấu nồi canh chua bắp chuối ăn giải nhiệt.,Xiêm lo [SEP] Món canh chua bắp chuối [SEP] Nấu nồi canh xiêm lo ăn giải nhiệt.,Nấu nồi canh chua bắp chuối ăn giải nhiệt.
Đũn đỡn (),"Cũn cỡn, ngắn quá mức trông khó coi",ăn mặc cái kiểu đũn đỡn như vậy hả?,ăn mặc kiểu gì mà ngắn cũn cỡn thế kia?,"Đũn đỡn () [SEP] Cũn cỡn, ngắn quá mức trông khó coi [SEP] ăn mặc cái kiểu đũn đỡn như vậy hả?",ăn mặc kiểu gì mà ngắn cũn cỡn thế kia?
Cha chả,Biểu thị sự ngạc nhiên hoặc tức giận,Cha chả! Nó trốn đi đâu?,Chà! Nó trốn đi đâu mất rồi?,Cha chả [SEP] Biểu thị sự ngạc nhiên hoặc tức giận [SEP] Cha chả! Nó trốn đi đâu?,Chà! Nó trốn đi đâu mất rồi?
Xe ôm,Xe máy chở khách,Kêu xe ôm chở ra chợ.,Gọi xe ôm chở ra chợ.,Xe ôm [SEP] Xe máy chở khách [SEP] Kêu xe ôm chở ra chợ.,Gọi xe ôm chở ra chợ.
Cá trắng,Chỉ chung các loại cá có vảy màu sáng sống ở sông lớn,Cá ở sông lớn này được gọi là cá trắng,Các loài cá sống ở sông lớn thường được gọi là cá vảy trắng,Cá trắng [SEP] Chỉ chung các loại cá có vảy màu sáng sống ở sông lớn [SEP] Cá ở sông lớn này được gọi là cá trắng,Các loài cá sống ở sông lớn thường được gọi là cá vảy trắng
Mới tinh khôi,"Mới tinh, còn mới nguyên.","Cái áo mới tinh khôi, còn trong hộp mà nó lại chê.","Cái áo mới tinh, còn trong hộp mà nó lại chê.","Mới tinh khôi [SEP] Mới tinh, còn mới nguyên. [SEP] Cái áo mới tinh khôi, còn trong hộp mà nó lại chê.","Cái áo mới tinh, còn trong hộp mà nó lại chê."
Ba lô ngược,Phụ nữ mang thai (nói đùa),"Dạo này, cổ mang ba lô ngược sắp sanh rồi còn cưới hỏi gì nữa","Dạo này, cô ấy bụng chửa sắp sinh rồi còn cưới hỏi gì nữa","Ba lô ngược [SEP] Phụ nữ mang thai (nói đùa) [SEP] Dạo này, cổ mang ba lô ngược sắp sanh rồi còn cưới hỏi gì nữa","Dạo này, cô ấy bụng chửa sắp sinh rồi còn cưới hỏi gì nữa"
Bui bui,Bụi nhuyễn từ lúa cám vụn củi nhỏ,"Con quét ba cái bui bui này lại, chụm cháy dữ lắm",Những mẩu gỗ vụn này rất dễ bén lửa khi đun nấu,"Bui bui [SEP] Bụi nhuyễn từ lúa cám vụn củi nhỏ [SEP] Con quét ba cái bui bui này lại, chụm cháy dữ lắm",Những mẩu gỗ vụn này rất dễ bén lửa khi đun nấu
Hô,Răng vẩu La làng vô căn cứ.,"Nhứt lé, nhì lùn, tam hô, tứ sún.","Thứ nhất mắt lác, thứ hai thấp lùn, thứ ba răng vẩu, thứ tư sún răng.","Hô [SEP] Răng vẩu La làng vô căn cứ. [SEP] Nhứt lé, nhì lùn, tam hô, tứ sún.","Thứ nhất mắt lác, thứ hai thấp lùn, thứ ba răng vẩu, thứ tư sún răng."
Rẻ rề thúi,"Rẻ mạt, rất rẻ",Trái cây mùa này rẻ thúi.,Trái cây mùa này rẻ như bèo.,"Rẻ rề thúi [SEP] Rẻ mạt, rất rẻ [SEP] Trái cây mùa này rẻ thúi.",Trái cây mùa này rẻ như bèo.
Nhắc,Nhấc lên khiêng đi Đi lò cò khập khiễng.,Làm gì mà nhắc cò cò vậy?,Làm gì mà đi thọt chân vậy?,Nhắc [SEP] Nhấc lên khiêng đi Đi lò cò khập khiễng. [SEP] Làm gì mà nhắc cò cò vậy?,Làm gì mà đi thọt chân vậy?
Trả treo,"Nói hỗn, cãi lại","Má giải thích cho tụi nhỏ nghe về trả treo, tụi nhỏ gật gù.","Má giải thích cho bọn nhỏ nghe về nói hỗn, bọn nhỏ gật gù.","Trả treo [SEP] Nói hỗn, cãi lại [SEP] Má giải thích cho tụi nhỏ nghe về trả treo, tụi nhỏ gật gù.","Má giải thích cho bọn nhỏ nghe về nói hỗn, bọn nhỏ gật gù."
Thèo lẻo,Mách lẻo,"Tao học được cái thèo lẻo này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái mách lẻo này từ hồi nhỏ, giờ vẫn nhớ.","Thèo lẻo [SEP] Mách lẻo [SEP] Tao học được cái thèo lẻo này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái mách lẻo này từ hồi nhỏ, giờ vẫn nhớ."
Xi nhông,Búi tóc đàn ông (xưa),"Thằng Tèo giải thích cho tụi nhỏ nghe về xi nhông, tụi nhỏ gật gù.","Thằng Tèo giải thích cho bọn nhỏ nghe về búi tóc đàn ông, bọn nhỏ gật gù.","Xi nhông [SEP] Búi tóc đàn ông (xưa) [SEP] Thằng Tèo giải thích cho tụi nhỏ nghe về xi nhông, tụi nhỏ gật gù.","Thằng Tèo giải thích cho bọn nhỏ nghe về búi tóc đàn ông, bọn nhỏ gật gù."
Trít rịt,Dán kín mít,Tụi bây thấy trít rịt không? Tao thấy từ hồi nãy rồi.,Các bạn thấy dán kín mít không? Tớ thấy từ nãy rồi.,Trít rịt [SEP] Dán kín mít [SEP] Tụi bây thấy trít rịt không? Tao thấy từ hồi nãy rồi.,Các bạn thấy dán kín mít không? Tớ thấy từ nãy rồi.
Bổ đồng,"Đổ đồng, tính trung bình",Mỗi ngày đi làm thuê nhà chủ trả bổ đồng được bao nhiêu?,Mỗi ngày đi làm thuê nhà chủ trả đổ đồng được bao nhiêu?,"Bổ đồng [SEP] Đổ đồng, tính trung bình [SEP] Mỗi ngày đi làm thuê nhà chủ trả bổ đồng được bao nhiêu?",Mỗi ngày đi làm thuê nhà chủ trả đổ đồng được bao nhiêu?
Mần cái,Cầm cái (chia bài) Làm gì (ích gì) Mò mẫm tìm kiếm Làm thuê.,Quanh năm mần mướn chỉ đủ ăn,Quanh năm làm thuê chỉ đủ ăn,Mần cái [SEP] Cầm cái (chia bài) Làm gì (ích gì) Mò mẫm tìm kiếm Làm thuê. [SEP] Quanh năm mần mướn chỉ đủ ăn,Quanh năm làm thuê chỉ đủ ăn
Kêu,"1. Gọi, gọi tên gọi bằng chức danh quan hệ réo.","Họ kêu đích danh anh, mà anh hổng có, nên đâu có ai nhận thay được.","Họ gọi đích danh anh, mà anh không có mặt, nên đâu có ai nhận thay được.","Kêu [SEP] 1. Gọi, gọi tên gọi bằng chức danh quan hệ réo. [SEP] Họ kêu đích danh anh, mà anh hổng có, nên đâu có ai nhận thay được.","Họ gọi đích danh anh, mà anh không có mặt, nên đâu có ai nhận thay được."
Mai tứ quý,"Một loại mai vàng ra hoa bốn mùa, không cần lặt lá.","Ba cái mai tứ quý này tuy trổ bông quanh năm, nhưng dân Nam Bộ người ta lại không thích chơi","Mấy cây mai tứ quý này tuy nở hoa quanh năm, nhưng dân Nam Bộ người ta lại không thích chơi","Mai tứ quý [SEP] Một loại mai vàng ra hoa bốn mùa, không cần lặt lá. [SEP] Ba cái mai tứ quý này tuy trổ bông quanh năm, nhưng dân Nam Bộ người ta lại không thích chơi","Mấy cây mai tứ quý này tuy nở hoa quanh năm, nhưng dân Nam Bộ người ta lại không thích chơi"
Nhàu nhĩ,"Nhàu nát, nhăn",Cái áo sơ mi nhét trong ba lô ba ngày lấy ra nó nhăn nhúm nhàu nhĩ y chang nùi giẻ.,Chiếc áo sơ mi nhét trong ba lô ba ngày lấy ra nó nhăn nhúm nhàu nát y như giẻ rách.,"Nhàu nhĩ [SEP] Nhàu nát, nhăn [SEP] Cái áo sơ mi nhét trong ba lô ba ngày lấy ra nó nhăn nhúm nhàu nhĩ y chang nùi giẻ.",Chiếc áo sơ mi nhét trong ba lô ba ngày lấy ra nó nhăn nhúm nhàu nát y như giẻ rách.
Túm tím Tủn vủn,Cười mỉm Nhỏ mọn,"Cái kiểu túm tím đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu cười mỉm đó quen lắm rồi, ai ở đây cũng biết.","Túm tím Tủn vủn [SEP] Cười mỉm Nhỏ mọn [SEP] Cái kiểu túm tím đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu cười mỉm đó quen lắm rồi, ai ở đây cũng biết."
Bép Bẹp,Tiếng đánh bép Ngồi bẹp,Ông Hai thường có thói quen vỗ đùi cái bép,Ông Hai thường có thói quen vỗ đùi cái bép,Bép Bẹp [SEP] Tiếng đánh bép Ngồi bẹp [SEP] Ông Hai thường có thói quen vỗ đùi cái bép,Ông Hai thường có thói quen vỗ đùi cái bép
Phà phà,"Thoải mái, dễ dàng","Ngồi ngay cửa sổ, gió thổi vô phà phà mát rười rượi.","Ngồi ngay cửa sổ, gió thổi vào mạnh mẽ mát rượi.","Phà phà [SEP] Thoải mái, dễ dàng [SEP] Ngồi ngay cửa sổ, gió thổi vô phà phà mát rười rượi.","Ngồi ngay cửa sổ, gió thổi vào mạnh mẽ mát rượi."
Trá hàng Trác,Tráo hàng Lừa xỏ,"Cô Năm hay nói tới chuyện trá hàng hoài, tao quen tai rồi.","Cô Năm hay nói tới chuyện tráo hàng mãi, tớ quen tai rồi.","Trá hàng Trác [SEP] Tráo hàng Lừa xỏ [SEP] Cô Năm hay nói tới chuyện trá hàng hoài, tao quen tai rồi.","Cô Năm hay nói tới chuyện tráo hàng mãi, tớ quen tai rồi."
Tuốt Tuốt luốt,Mất hết Xa tít,Đồ ăn hết tuốt mà tụi nhỏ vẫn đòi thêm.,Đồ ăn hết mất hết mà bọn nhỏ vẫn đòi thêm.,Tuốt Tuốt luốt [SEP] Mất hết Xa tít [SEP] Đồ ăn hết tuốt mà tụi nhỏ vẫn đòi thêm.,Đồ ăn hết mất hết mà bọn nhỏ vẫn đòi thêm.
Bù lon con tán,Dân thợ máy dân hung dữ hay đánh nhau,"Mày đụng dân bù lon con tán là mệt rồi, chúng nó đánh nhau như cơm bữa","Anh đừng có trêu vào hội thợ máy đấy, họ nóng tính lắm","Bù lon con tán [SEP] Dân thợ máy dân hung dữ hay đánh nhau [SEP] Mày đụng dân bù lon con tán là mệt rồi, chúng nó đánh nhau như cơm bữa","Anh đừng có trêu vào hội thợ máy đấy, họ nóng tính lắm"
Quá trời thần,Giống quá trời quá đất,"Cái kiểu quá trời thần đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu giống ""quá trời quá đất"" đó quen lắm rồi, ai ở đây cũng biết.","Quá trời thần [SEP] Giống quá trời quá đất [SEP] Cái kiểu quá trời thần đó quen lắm rồi, ai ở đây cũng biết.","Cái kiểu giống ""quá trời quá đất"" đó quen lắm rồi, ai ở đây cũng biết."
Chắc gan,"Lì lợm, dũng cảm, gan dạ không biết sợ","Thằng nhỏ này chắc gan thiệt, bị đòn mà nó không khóc","Thằng bé này lầm lì gan dạ thật, bị bố đánh đòn đau thế mà không hề rơi một giọt nước mắt","Chắc gan [SEP] Lì lợm, dũng cảm, gan dạ không biết sợ [SEP] Thằng nhỏ này chắc gan thiệt, bị đòn mà nó không khóc","Thằng bé này lầm lì gan dạ thật, bị bố đánh đòn đau thế mà không hề rơi một giọt nước mắt"
Cỡi,"Cưỡi, đạp (xe đạp), lái súc vật",Tôi biết cỡi xe đạp từ ngày học đệ thất,Tôi biết đi xe đạp từ hồi học lớp 6,"Cỡi [SEP] Cưỡi, đạp (xe đạp), lái súc vật [SEP] Tôi biết cỡi xe đạp từ ngày học đệ thất",Tôi biết đi xe đạp từ hồi học lớp 6
Gẩm,Ông tổ nhiều đời hoặc chuyện xa xưa,"Chuyện từ thời ông gẩm bà gẫm, ai mà còn nhớ","Chuyện từ đời xửa đời xưa rồi, ai mà còn nhớ được nữa","Gẩm [SEP] Ông tổ nhiều đời hoặc chuyện xa xưa [SEP] Chuyện từ thời ông gẩm bà gẫm, ai mà còn nhớ","Chuyện từ đời xửa đời xưa rồi, ai mà còn nhớ được nữa"
Dếch,"Nghếch lên, hơi hướng lên trên",Cái ghe này mũi dếch tránh được sóng dập,Cái thuyền này mũi nghếch lên nên tránh được sóng đánh vào,"Dếch [SEP] Nghếch lên, hơi hướng lên trên [SEP] Cái ghe này mũi dếch tránh được sóng dập",Cái thuyền này mũi nghếch lên nên tránh được sóng đánh vào
Cà tưng,"Tính tình không ổn định, lúc buồn lúc vui, tưng tửng hoặc xóc nảy.","Nó nói chuyện cà tưng, hổng ăn nhập gì tới chủ đề đang bàn hết.","Nó nói chuyện tưng tửng, chẳng ăn nhập gì tới chủ đề đang bàn cả.","Cà tưng [SEP] Tính tình không ổn định, lúc buồn lúc vui, tưng tửng hoặc xóc nảy. [SEP] Nó nói chuyện cà tưng, hổng ăn nhập gì tới chủ đề đang bàn hết.","Nó nói chuyện tưng tửng, chẳng ăn nhập gì tới chủ đề đang bàn cả."
Bảo bọc,"Bao bọc, che chở","Em đừng lo, qua sẽ bảo bọc thằng nhỏ đi về an toàn","Em đừng lo, tôi sẽ bao bọc thằng bé đi về an toàn","Bảo bọc [SEP] Bao bọc, che chở [SEP] Em đừng lo, qua sẽ bảo bọc thằng nhỏ đi về an toàn","Em đừng lo, tôi sẽ bao bọc thằng bé đi về an toàn"
Nuốt trộng,"Nuốt gọn, ăn lấn át.","Đói quá đói, dọn mâm cơm ra là thằng nhỏ và mấy miếng nuốt trộng không kịp nhai.","Đói quá, dọn mâm cơm ra là thằng bé và mấy miếng nuốt chửng không kịp nhai.","Nuốt trộng [SEP] Nuốt gọn, ăn lấn át. [SEP] Đói quá đói, dọn mâm cơm ra là thằng nhỏ và mấy miếng nuốt trộng không kịp nhai.","Đói quá, dọn mâm cơm ra là thằng bé và mấy miếng nuốt chửng không kịp nhai."
Dong,"Dung thứ hoặc đi chạy rất nhanh, khẩn trương","Ăn lẹ đi rồi dong, chớ không là mưa tới không có về được đâu","Ăn nhanh đi rồi đi ngay, chứ không mưa đến là không về được đâu","Dong [SEP] Dung thứ hoặc đi chạy rất nhanh, khẩn trương [SEP] Ăn lẹ đi rồi dong, chớ không là mưa tới không có về được đâu","Ăn nhanh đi rồi đi ngay, chứ không mưa đến là không về được đâu"
Quòn quèn,"Mèng, tồi, ít ỏi","Bác Tư hay nói tới chuyện quòn quèn hoài, tao quen tai rồi.","Bác Tư hay nói tới chuyện mèng mãi, tớ quen tai rồi.","Quòn quèn [SEP] Mèng, tồi, ít ỏi [SEP] Bác Tư hay nói tới chuyện quòn quèn hoài, tao quen tai rồi.","Bác Tư hay nói tới chuyện mèng mãi, tớ quen tai rồi."
Bún nhún,"Yếu, không còn sức lực (bủn rủn)",thấy nó bún nhún tay chân liền,"Nghe xong tin dữ, chân tay tôi bủn rủn, đứng không vững","Bún nhún [SEP] Yếu, không còn sức lực (bủn rủn) [SEP] thấy nó bún nhún tay chân liền","Nghe xong tin dữ, chân tay tôi bủn rủn, đứng không vững"
Lói hói,"Hói tóc thưa thớt, lẻ tẻ vài nóc nhà.",Tóc của tôi dạo này cũng lói hói,Tóc của tôi dạo này cũng hói dần,"Lói hói [SEP] Hói tóc thưa thớt, lẻ tẻ vài nóc nhà. [SEP] Tóc của tôi dạo này cũng lói hói",Tóc của tôi dạo này cũng hói dần
Ê chề,"Ê hề, quá nhiều đến thừa thãi","Thức ăn còn ê chề đó, ai ăn cho hết mà dọn ra thêm nữa","Thức ăn còn ê hề ra đó, ai ăn cho hết mà dọn ra thêm nữa","Ê chề [SEP] Ê hề, quá nhiều đến thừa thãi [SEP] Thức ăn còn ê chề đó, ai ăn cho hết mà dọn ra thêm nữa","Thức ăn còn ê hề ra đó, ai ăn cho hết mà dọn ra thêm nữa"
Xe rùa,Xe đẩy tay nhỏ,Đổ cát vô cái xe rùa này nè.,Đổ cát vào chiếc xe đẩy tay này này.,Xe rùa [SEP] Xe đẩy tay nhỏ [SEP] Đổ cát vô cái xe rùa này nè.,Đổ cát vào chiếc xe đẩy tay này này.
Bây hây Bầy hầy,"Bứt rứt, uể oải Bẩn thỉu, luộm thuộm",Đi học mà áo quần bầy hầy quá trời.,“Đi học mà quần áo luộm thuộm quá.”,"Bây hây Bầy hầy [SEP] Bứt rứt, uể oải Bẩn thỉu, luộm thuộm [SEP] Đi học mà áo quần bầy hầy quá trời.",“Đi học mà quần áo luộm thuộm quá.”
Phá hôi,"Phá đám, chọc gậy bánh xe, gây rối.",tụi bây lại phá hội chúng làm gì.,các cậu lại đi phá đám chúng làm gì.,"Phá hôi [SEP] Phá đám, chọc gậy bánh xe, gây rối. [SEP] tụi bây lại phá hội chúng làm gì.",các cậu lại đi phá đám chúng làm gì.
Vạn thọ,Hoa cúc vạn thọ,"Anh Ba hay nói tới chuyện vạn thọ hoài, tao quen tai rồi.","Anh Ba hay nói tới chuyện hoa cúc vạn thọ mãi, tớ quen tai rồi.","Vạn thọ [SEP] Hoa cúc vạn thọ [SEP] Anh Ba hay nói tới chuyện vạn thọ hoài, tao quen tai rồi.","Anh Ba hay nói tới chuyện hoa cúc vạn thọ mãi, tớ quen tai rồi."
Nen,"Chèn, nhét, lèn chặt vào củ nén (trị rắn cắn) bóp nắn thu nhỏ lại.",Củ nén,Củ hành tăm,"Nen [SEP] Chèn, nhét, lèn chặt vào củ nén (trị rắn cắn) bóp nắn thu nhỏ lại. [SEP] Củ nén",Củ hành tăm
Tay trơn,"Trắng tay, không vốn liếng",Làm ăn thua lỗ giờ thành tay trơn.,Làm ăn thua lỗ giờ thành trắng tay.,"Tay trơn [SEP] Trắng tay, không vốn liếng [SEP] Làm ăn thua lỗ giờ thành tay trơn.",Làm ăn thua lỗ giờ thành trắng tay.
Muống vùa,Nửa sọ dừa đầu hói cắt trọc tròn vo.,Thằng nào hớt cái đầu mày giong tròn như cái muống vùa vậy.,Thằng nào cắt cái đầu mày tròn vo như cái gáo dừa vậy.,Muống vùa [SEP] Nửa sọ dừa đầu hói cắt trọc tròn vo. [SEP] Thằng nào hớt cái đầu mày giong tròn như cái muống vùa vậy.,Thằng nào cắt cái đầu mày tròn vo như cái gáo dừa vậy.
